kepid,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score
8766650,K01904.01,Kepler-1008 b,296.54752,0.0,19h46m11.40s,44.941929,0.0,+44d56m30.9s,14.132,,13.338,,13.08,,12.935,,11.93,0.021,11.46,0.017,11.378,0.012,13.395,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,1,104.0,5.458994,30.03955,0.9597,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1611,0.5575,Mandel and Agol (2002 ApJ 580 171),24.9,,,136.37952,0.00362,-0.00362,0.0,,,,,,1.3,0.06,-0.09,0.0951,,,0.663,0.034,-0.487,3.176,0.105,-0.105,,,,254.3,12.1,-12.1,12.43929428,5.267e-05,-5.267e-05,0.015366,0.003871,-0.001112,23.03,9.2,-9.2,88.35,,,627.0,,,4987.0,99.0,,4.531,0.068,-0.023,-0.08,0.15,-0.15,0.773,0.036,-0.053,0.742,0.06,-0.028,,,,q1_q17_dr25_stellar,0.259,19.7698374,7.5e-06,44.941926,7.4e-05,0.08,0.29,-0.01,0.27,5e-06,7.6e-05,-6.4e-05,7.1e-05,0.09,0.23,-0.21,0.18,0.23,0.19,0.26,0.23,-0.47,0.18,0.54,0.2,CENT_KIC_POS,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,008/008766/008766650/dv/kplr008766650-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454969.38,0.00362,-0.00362,008/008766/008766650/dv/kplr008766650-20160209194854_dvr.pdf,0,0,0,0,36.57,6.77,-7.29,1.49391,1.79628,-1.2894,LS+MCMC,0.984
9730163,K02704.02,Kepler-445 b,298.73611,0.0,19h54m56.67s,46.498634,0.0,+46d29m55.1s,18.666,,17.462,,16.961,,,,13.542,0.029,12.929,0.035,12.61,0.028,17.475,,cumulative,Done,00000101100111011000000000000000,CONFIRMED,CANDIDATE,3,195.0,3.9131248,19.508406,0.5362,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3107,0.423,Mandel and Agol (2002 ApJ 580 171),24.3,,,133.11908,0.00279,-0.00279,0.0,,,,,,0.92,0.42,-0.14,0.0217,,,0.45,0.479,-0.24,1.2637,0.0667,-0.0667,,,,2598.0,129.0,-129.0,2.984157711,8.749e-06,-8.749e-06,0.046896,0.00111,-0.003045,17.06,4.3,-4.3,88.49,,,401.0,,,3157.0,75.0,-37.0,5.112,0.076,-0.123,0.26,0.15,-0.1,0.18,0.081,-0.027,0.153,0.092,-0.023,,,,q1_q17_dr25_stellar,0.881,19.915761,1.6e-05,46.49892,0.00017,0.73,0.6,1.03,0.62,-0.0005,0.0017,0.0001,0.002,0.04,0.15,-0.26,0.34,0.26,0.34,0.48,0.16,0.93,0.34,1.04,0.31,CENT_KIC_POS,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,009/009730/009730163/dv/kplr009730163-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454966.119,0.00279,-0.00279,009/009730/009730163/dv/kplr009730163-20160209194854_dvr.pdf,0,0,0,0,6.12,8.01,-1.9,10.55546,5.29425,-3.01123,LS+MCMC,0.939
11752906,K00253.02,Kepler-2000 c,285.57434,0.0,19h02m17.84s,49.962269,0.0,+49d57m44.2s,16.625,,15.335,,14.667,,14.261,,13.089,0.035,12.399,0.041,12.29,0.037,15.254,,cumulative,Done,11111110111011101000000000000000,CONFIRMED,CANDIDATE,2,50.0,4.96706,12.288935,0.4026,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0767,0.6737,Mandel and Agol (2002 ApJ 580 171),16.3,,,145.51232,0.00464,-0.00464,0.0,,,,,,1.57,0.06,-0.1,0.1228,,,0.155,0.314,-0.155,3.267,0.185,-0.185,,,,769.5,52.1,-52.1,20.6180348,0.0001382,-0.0001382,0.024893,0.00144,-0.000914,48.85,6.9,-6.9,89.82,,,359.0,,,3757.0,74.0,-82.0,4.681,0.039,-0.015,0.48,0.05,-0.15,0.576,0.022,-0.036,0.581,0.029,-0.029,,,,q1_q17_dr25_stellar,0.0,19.038306,1.2e-05,49.9621,0.00012,0.55,0.42,-0.62,0.44,-0.00061,0.00037,-0.00091,0.00041,-0.05,0.43,1.43,0.37,1.43,0.37,-0.11,0.45,-0.58,0.37,0.59,0.35,CENT_KIC_POS,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,011/011752/011752906/dv/kplr011752906-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454978.512,0.00464,-0.00464,011/011752/011752906/dv/kplr011752906-20160209194854_dvr.pdf,0,0,0,0,3.92,0.65,-0.76,5.1879,0.73126,-2.33145,LS+MCMC,0.993
4349452,K00244.02,Kepler-25 b,286.6384,0.0,19h06m33.22s,39.487881,0.0,+39d29m16.4s,11.293,,10.778,,,,,,9.764,0.02,9.532,0.02,9.493,0.017,10.734,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,2,210.0,22.156876,222.45161,0.826,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.302,0.319,Mandel and Agol (2002 ApJ 580 171),274.5,,,171.706325,0.000295,-0.000295,0.0,,,,,,2.53,0.14,-0.12,0.0685,,,0.008,0.266,-0.008,3.5255,0.0105,-0.0105,,,,401.6,1.7,-1.7,6.238535444,2.325e-06,-2.325e-06,0.018412,0.000144,-5.9e-05,13.7795,0.0537,-0.0537,89.97,,,1185.0,,,6267.0,81.0,-75.0,4.28,0.033,-0.03,-0.06,0.15,-0.1,1.258,0.072,-0.059,1.097,0.093,-0.059,,,,q1_q17_dr25_stellar,0.0,19.1092305,2.1e-06,39.48801,1.8e-05,0.209,0.087,0.471,0.066,-0.000225,3.5e-05,-3.3e-05,2.7e-05,0.78,0.61,0.41,0.51,0.88,0.75,1.17,0.58,0.69,0.48,1.36,0.71,CENT_SATURATED,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,004/004349/004349452/dv/kplr004349452-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455004.706,0.000295,-0.000295,004/004349/004349452/dv/kplr004349452-20160209194854_dvr.pdf,0,0,0,0,465.61,82.26,-62.53,1.27172,0.00496,-0.25535,LS+MCMC,1.0
6266741,K00508.01,Kepler-170 b,284.52118,0.0,18h58m05.08s,41.629601,0.0,+41d37m46.6s,14.948,,14.317,,14.146,,14.067,,13.143,0.021,12.773,0.025,12.677,0.024,14.387,,cumulative,Done,11110111011101110000000000000000,CONFIRMED,CANDIDATE,2,130.0,12.16188,71.042274,0.6027,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2436,0.4458,Mandel and Agol (2002 ApJ 580 171),89.9,,,169.516944,0.000969,-0.000969,0.0,,,,,,3.05,0.47,-0.17,0.08,,,0.559,0.336,-0.347,3.6083,0.0454,-0.0454,,,,826.1,10.2,-10.2,7.930583519,9.41e-06,-9.41e-06,0.027039,0.004337,-0.001019,14.48,5.2,-5.2,87.79,,,899.0,,,5674.0,103.0,-114.0,4.446,0.034,-0.128,0.48,0.05,-0.15,1.032,0.159,-0.057,1.086,0.05,-0.066,,,,q1_q17_dr25_stellar,0.474,18.9680792,3.9e-06,41.629674,4.3e-05,0.0,0.16,0.27,0.16,1e-05,0.00013,-9e-05,0.00013,0.05,0.11,-0.02,0.12,0.058,0.099,0.07,0.11,0.2,0.12,0.21,0.13,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,006/006266/006266741/dv/kplr006266741-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455002.517,0.000969,-0.000969,006/006266/006266741/dv/kplr006266741-20160209194854_dvr.pdf,0,0,0,0,154.36,66.57,-27.32,0.91343,0.65887,-0.01,LS+MCMC,1.0
2717158,K03459.01,Kepler-1922 b,292.33035,0.0,19h29m19.28s,37.997059,0.0,+37d59m49.4s,15.692,,15.164,,15.001,,14.933,,14.038,0.029,13.701,0.032,13.6,0.049,15.208,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,1,98.0,3.8127608,11.174874,0.9064,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2965,0.3342,Mandel and Agol (2002 ApJ 580 171),12.6,,,144.295,0.0101,-0.0101,0.0,,,,,,1.75,0.46,-0.16,0.1077,,,0.943,0.019,-0.638,4.337,0.201,-0.201,,,,261.7,23.1,-23.1,13.2226149,0.0001685,-0.0001685,0.018529,0.000118,-0.004394,9.01,4.4,-4.4,83.99,,,740.0,,,5931.0,161.0,-178.0,4.545,0.044,-0.187,-0.28,0.3,-0.3,0.863,0.231,-0.077,0.953,0.109,-0.119,,,,q1_q17_dr25_stellar,0.02,19.488666,2.8e-05,37.99653,0.00031,-1.1,1.2,-1.9,1.1,0.00039,0.0003,0.0003,0.00028,-0.26,0.51,0.27,0.45,0.37,0.48,-0.03,0.84,0.1,0.89,0.1,0.71,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,002/002717/002717158/dv/kplr002717158-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454977.295,0.0101,-0.0101,002/002717/002717158/dv/kplr002717158-20160209194854_dvr.pdf,0,0,0,0,71.11,56.08,-18.89,0.0791,1.7886,-0.04378,LS+MCMC,1.0
9578686,K00709.01,Kepler-651 b,287.33279,0.0,19h09m19.87s,46.20351,0.0,+46d12m12.6s,14.46,,13.895,,13.716,,13.662,,12.719,0.021,12.397,0.019,12.27,0.018,13.94,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,1,64.0,11.118899,58.81958,0.6016,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2434,0.4341,Mandel and Agol (2002 ApJ 580 171),67.3,,,178.78285,0.00132,-0.00132,0.0,,,,,,2.17,0.18,-0.15,0.1409,,,0.518,0.063,-0.393,4.0819,0.0447,-0.0447,,,,663.9,11.4,-11.4,21.3851584,3.579e-05,-3.579e-05,0.02406,0.002815,-0.000748,35.36,9.7,-9.7,89.16,,,574.0,,,5376.0,106.0,-106.0,4.516,0.06,-0.06,-0.16,0.15,-0.15,0.825,0.069,-0.057,0.814,0.057,-0.042,,,,q1_q17_dr25_stellar,0.023,19.1555136,5.2e-06,46.203531,5.4e-05,-0.24,0.2,0.08,0.2,0.00028,0.00013,1e-05,0.00013,-0.05,0.13,0.02,0.18,0.05,0.16,-0.12,0.12,-0.08,0.19,0.14,0.11,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,009/009578/009578686/dv/kplr009578686-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2455011.783,0.00132,-0.00132,009/009578/009578686/dv/kplr009578686-20160209194854_dvr.pdf,0,0,0,0,25.63,6.91,-5.12,1.82855,1.00319,-0.05226,LS+MCMC,1.0
3657758,K02034.01,Kepler-1065 b,294.51126,0.0,19h38m02.70s,38.790501,0.0,+38d47m25.8s,16.15,,15.489,,15.279,,15.192,,14.178,0.035,13.802,0.034,13.671,0.05,15.54,,cumulative,Done,00011011101110111000000000000000,CONFIRMED,CANDIDATE,2,242.0,5.7179546,38.35937,0.025,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,Mandel and Agol (2002 ApJ 580 171),35.0,,,133.79024,0.00186,-0.00186,0.0,,,,,,3.26,0.92,-0.31,0.0455,,,0.408,0.032,-0.408,1.7752,0.054,-0.054,,,,1375.1,45.1,-45.1,3.609313059,7.605e-06,-7.605e-06,0.034342,0.000537,-0.001398,14.78,6.1,-6.1,88.42,,,1092.0,,,5668.0,169.0,-186.0,4.545,0.036,-0.192,-0.02,0.25,-0.3,0.868,0.246,-0.082,0.963,0.104,-0.115,,,,q1_q17_dr25_stellar,0.0,19.6340986,6.2e-06,38.790493,6e-05,0.61,0.26,-0.02,0.22,-0.00141,0.00038,-0.0011,0.00034,0.13,0.12,0.02,0.17,0.13,0.12,0.15,0.11,-0.1,0.16,0.18,0.14,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,003/003657/003657758/dv/kplr003657758-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454966.79,0.00186,-0.00186,003/003657/003657758/dv/kplr003657758-20160209194854_dvr.pdf,0,0,0,0,336.16,286.59,-94.96,4.68689,1.92903,-0.61878,LS+MCMC,1.0
8591173,K02181.01,Kepler-1804 b,301.34286,0.0,20h05m22.29s,44.672211,0.0,+44d40m20.0s,15.196,,14.367,,14.079,,13.942,,12.918,0.022,12.469,0.022,12.356,0.025,14.414,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,1,111.0,4.0287733,17.047945,0.4588,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1555,0.5695,Mandel and Agol (2002 ApJ 580 171),12.0,,,141.61869,0.00771,-0.00771,0.0,,,,,,3.22,1.5,-1.82,0.1017,,,0.632,0.309,-0.406,2.807,0.232,-0.232,,,,342.1,33.7,-33.7,12.2885046,0.0001092,-0.0001092,0.017657,0.000109,-0.002012,26.7,10.2,-10.2,88.64,,,913.0,,,5109.0,169.0,-138.0,3.96,0.616,-0.264,0.1,0.25,-0.25,1.671,0.775,-0.947,0.929,0.103,-0.126,,,,q1_q17_dr25_stellar,,20.089574,1.6e-05,44.67248,0.00019,1.91,0.63,0.97,0.7,,,-0.00046,0.00024,0.01,0.2,-0.24,0.42,0.24,0.42,0.02,0.19,-0.3,0.41,0.3,0.41,NO_COMMENT,2018-08-16 00:00:00,1.0,q1_q17_dr25_tce,008/008591/008591173/dv/kplr008591173-001-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454974.619,0.00771,-0.00771,008/008591/008591173/dv/kplr008591173-20160209194854_dvr.pdf,0,0,0,0,164.61,237.14,-136.91,2.38362,3.6277,-0.0425,LS+MCMC,1.0
9941859,K00528.02,Kepler-178 d,287.1011,0.0,19h08m24.26s,46.896481,0.0,+46d53m47.3s,15.143,,14.548,,14.364,,14.278,,13.28,0.023,12.967,0.017,12.899,0.024,14.598,,cumulative,Done,11111111111111111000000000000000,CONFIRMED,CANDIDATE,3,15.0,12.950687,37.79153,0.568,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,Mandel and Agol (2002 ApJ 580 171),44.7,,,140.18339,0.00251,-0.00251,0.0,,,,,,3.29,0.59,-0.53,0.3962,,,0.336,0.111,-0.336,5.6957,0.0832,-0.0832,,,,951.3,21.6,-21.6,96.6781852,0.000277,-0.000277,0.028035,0.000534,-0.000841,126.0,31.5,-31.5,89.85,,,392.0,,,5386.0,80.0,-72.0,4.322,0.159,-0.13,0.18,0.15,-0.1,1.076,0.191,-0.173,0.886,0.063,-0.037,,,,q1_q17_dr25_stellar,0.002,19.1400624,9.2e-06,46.896597,9.7e-05,-0.38,0.34,0.42,0.35,0.00029,0.00032,-0.00057,0.00033,-0.04,0.11,-0.06,0.16,0.07,0.15,-0.11,0.11,-0.25,0.16,0.27,0.15,NO_COMMENT,2018-08-16 00:00:00,2.0,q1_q17_dr25_tce,009/009941/009941859/dv/kplr009941859-002-20160209194854_dvs.pdf,q1_q17_dr25_sup_koi,q1_q17_dr25_koi,2454973.183,0.00251,-0.00251,009/009941/009941859/dv/kplr009941859-20160209194854_dvr.pdf,0,0,0,0,5.55,2.62,-1.84,4.04888,1.0113,-0.77425,LS+MCMC,1.0
